Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
28-Aug-20,11602.95,11686.05,11589.4,11647.6,88.35,0.76%,0,0.376628357
31-Aug-20,11777.55,11794.25,11325.85,11387.5,-260.1,-2.23%,0,1.103370395
01-Sep-20,11464.3,11553.55,11366.9,11470.25,82.75,0.73%,0,0.669905707
02-Sep-20,11478.55,11554.75,11430.4,11535,64.75,0.56%,0,0.072308785
03-Sep-20,11566.2,11584.95,11507.65,11527.45,-7.55,-0.07%,0,0.269751517
04-Sep-20,11354.4,11452.05,11303.65,11333.85,-193.6,-1.68%,0,-1.524078771
07-Sep-20,11359.6,11381.15,11251.7,11355.05,21.2,0.19%,0,0.226680517
08-Sep-20,11378.55,11437.25,11290.45,11317.35,-37.7,-0.33%,0,0.206528951
09-Sep-20,11218.6,11298.15,11185.15,11278,-39.35,-0.35%,0,-0.88023461
10-Sep-20,11363.3,11464.05,11327.4,11449.25,171.25,1.52%,0,0.75066222
11-Sep-20,11447.8,11493.5,11419.9,11464.45,15.2,0.13%,0,-0.012666189
14-Sep-20,11540.15,11568.9,11383.55,11440.05,-24.4,-0.21%,0,0.655970676
15-Sep-20,11487.2,11535.95,11442.25,11521.8,81.75,0.71%,0,0.410456856
16-Sep-20,11538.45,11618.1,11516.75,11604.55,82.75,0.72%,0,0.144300144
17-Sep-20,11539.4,11587.2,11498.5,11516.1,-88.45,-0.76%,0,-0.564587414
18-Sep-20,11584.1,11584.1,11446.1,11504.95,-11.15,-0.10%,0,0.587011507
21-Sep-20,11503.8,11535.25,11218.5,11250.55,-254.4,-2.21%,0,-0.009996697
22-Sep-20,11301.75,11302.2,11084.65,11153.65,-96.9,-0.86%,0,0.453027186
23-Sep-20,11258.75,11259.55,11024.4,11131.85,-21.8,-0.20%,0,0.93349617
24-Sep-20,11011,11015.3,10790.2,10805.55,-326.3,-2.93%,0,-1.097538825
25-Sep-20,10910.4,11072.6,10854.85,11050.25,244.7,2.26%,0,0.961009679
28-Sep-20,11140.85,11239.35,11099.85,11227.55,177.3,1.60%,0,0.813223408
29-Sep-20,11288.6,11305.4,11181,11222.4,-5.15,-0.05%,0,0.540811084
30-Sep-20,11244.45,11295.4,11184.55,11247.55,25.15,0.22%,0,0.196096741
01-Oct-20,11364.45,11428.6,11347.05,11416.95,169.4,1.51%,0,1.028646349
05-Oct-20,11487.8,11578.05,11452.3,11503.35,86.4,0.76%,0,0.616741239
06-Oct-20,11603.45,11680.3,11564.3,11662.4,159.05,1.38%,0,0.862674463
07-Oct-20,11679.25,11763.05,11629.35,11738.85,76.45,0.66%,0,0.144272963
08-Oct-20,11835.4,11905.7,11791.15,11834.6,95.75,0.82%,0,0.81577302
09-Oct-20,11852.05,11938.6,11805.2,11914.2,79.6,0.67%,0,0.147231913
12-Oct-20,11973.55,12022.05,11867.2,11930.95,16.75,0.14%,0,0.495675886
13-Oct-20,11934.65,11988.2,11888.9,11934.5,3.55,0.03%,0,0.031002166
14-Oct-20,11917.4,11997.2,11822.15,11971.05,36.55,0.31%,0,-0.143487673
15-Oct-20,12023.45,12025.45,11661.3,11680.35,-290.7,-2.43%,0,0.435815011
16-Oct-20,11727.4,11789.75,11667.85,11762.45,82.1,0.70%,0,0.401197196
19-Oct-20,11879.2,11898.25,11820.4,11873.05,110.6,0.94%,0,0.98281029
20-Oct-20,11861,11949.25,11837.25,11896.8,23.75,0.20%,0,-0.101593458
21-Oct-20,11958.55,12018.65,11775.75,11937.65,40.85,0.34%,0,0.516366951
